YEAR,STRATUM,AOU,SPECIES,POP
1963,46,1420,Northern shoveler,144968
1963,46,1430,Northern pintail,104806
1963,46,1460,Redhead,70752
1963,46,1470,Canvasback,5621
1963,46,1499,Generic scaup,4490
1963,46,1500,Ring-necked duck,0
1963,46,1519,Generic goldeneye,0
1963,46,1530,Bufflehead,0
1963,46,1670,Ruddy duck,14777
1963,46,1720,Canada goose,0
1963,46,2210,American coot,26573
1963,46,9991,Pond,142094
1964,45,1320,Mallard,213748
1964,45,1350,Gadwall,45979
1964,45,1370,American wigeon,3188
1964,45,1390,Green-winged teal,0
1964,45,1400,Blue-winged teal,322727
1964,45,1420,Northern shoveler,58989
1964,45,1430,Northern pintail,157048
1964,45,1460,Redhead,43237
1964,45,1470,Canvasback,14111
1964,45,1499,Generic scaup,350
1964,45,1500,Ring-necked duck,0
1964,45,1519,Generic goldeneye,0
1964,45,1530,Bufflehead,0
1964,45,1670,Ruddy duck,3290
1964,45,1720,Canada goose,0
1964,45,2210,American coot,8505
1964,45,9991,Pond,250656
1964,46,1320,Mallard,42025
1964,46,1350,Gadwall,37935
1964,46,1370,American wigeon,1364
1964,46,1390,Green-winged teal,0
1964,46,1400,Blue-winged teal,228708
1964,46,1420,Northern shoveler,41640
1964,46,1430,Northern pintail,71665
1964,46,1460,Redhead,15260
1964,46,1470,Canvasback,3123
1964,46,1499,Generic scaup,898
1964,46,1500,Ring-necked duck,0
1964,46,1519,Generic goldeneye,0
1964,46,1530,Bufflehead,0
1964,46,1670,Ruddy duck,2111
1964,46,1720,Canada goose,0
1964,46,2210,American coot,5695
1964,46,9991,Pond,96879
1965,45,1320,Mallard,239506
1965,45,1350,Gadwall,124799
1965,45,1370,American wigeon,0
1965,45,1390,Green-winged teal,0
1965,45,1400,Blue-winged teal,501077
1965,45,1420,Northern shoveler,148948
1965,45,1430,Northern pintail,252971
1965,45,1460,Redhead,43237
1965,45,1470,Canvasback,9245
1965,45,1499,Generic scaup,8746
1965,45,1500,Ring-necked duck,0
1965,45,1519,Generic goldeneye,0
1965,45,1530,Bufflehead,0
1965,45,1670,Ruddy duck,2467
1965,45,1720,Canada goose,0
1965,45,2210,American coot,43142
1965,45,9991,Pond,390944
1965,46,1320,Mallard,116835
1965,46,1350,Gadwall,95540
1965,46,1370,American wigeon,0
1965,46,1390,Green-winged teal,0
1965,46,1400,Blue-winged teal,382182
1965,46,1420,Northern shoveler,117348
1965,46,1430,Northern pintail,189985
1965,46,1460,Redhead,73526
1965,46,1470,Canvasback,9368
1965,46,1499,Generic scaup,1347
1965,46,1500,Ring-necked duck,0
1965,46,1519,Generic goldeneye,0
1965,46,1530,Bufflehead,0
1965,46,1670,Ruddy duck,6333
1965,46,1720,Canada goose,0
1965,46,2210,American coot,40115
1965,46,9991,Pond,203428
1966,45,1320,Mallard,198873
1966,45,1350,Gadwall,119578
1966,45,1370,American wigeon,11691
1966,45,1390,Green-winged teal,34728
1966,45,1400,Blue-winged teal,507067
1966,45,1420,Northern shoveler,174802
1966,45,1430,Northern pintail,214426
1966,45,1460,Redhead,112416
1966,45,1470,Canvasback,34305
1966,45,1499,Generic scaup,4898
1966,45,1500,Ring-necked duck,840
1966,45,1519,Generic goldeneye,1202
1966,45,1530,Bufflehead,0
1966,45,1670,Ruddy duck,2467
1966,45,1720,Canada goose,0
1966,45,2210,American coot,52384
1966,45,9991,Pond,279861
1966,46,1320,Mallard,218187
1966,46,1350,Gadwall,134399
1966,46,1370,American wigeon,0
1966,46,1390,Green-winged teal,22285
1966,46,1400,Blue-winged teal,477383
1966,46,1420,Northern shoveler,95874
1966,46,1430,Northern pintail,238011
1966,46,1460,Redhead,90174
1966,46,1470,Canvasback,18735
1966,46,1499,Generic scaup,5837
1966,46,1500,Ring-necked duck,1617
1966,46,1519,Generic goldeneye,0
1966,46,1530,Bufflehead,0
1966,46,1670,Ruddy duck,30609
1966,46,1720,Canada goose,0
1966,46,2210,American coot,84951
1966,46,9991,Pond,192764
1967,45,1320,Mallard,292286
1967,45,1350,Gadwall,105522
1967,45,1370,American wigeon,9474
1967,45,1390,Green-winged teal,5412
1967,45,1400,Blue-winged teal,499435
1967,45,1420,Northern shoveler,218816
1967,45,1430,Northern pintail,319502
1967,45,1460,Redhead,79309
1967,45,1470,Canvasback,16016
1967,45,1499,Generic scaup,7437
1967,45,1500,Ring-necked duck,0
1967,45,1519,Generic goldeneye,0
1967,45,1530,Bufflehead,0
1967,45,1670,Ruddy duck,21993
1967,45,1720,Canada goose,0
1967,45,2210,American coot,92011
1967,45,9991,Pond,472215
1967,46,1320,Mallard,120071
1967,46,1350,Gadwall,83868
1967,46,1370,American wigeon,5456
1967,46,1390,Green-winged teal,4052
1967,46,1400,Blue-winged teal,492821
1967,46,1420,Northern shoveler,136761
1967,46,1430,Northern pintail,141748
1967,46,1460,Redhead,83792
1967,46,1470,Canvasback,10492
1967,46,1499,Generic scaup,14009
1967,46,1500,Ring-necked duck,0
1967,46,1519,Generic goldeneye,0
1967,46,1530,Bufflehead,0
1967,46,1670,Ruddy duck,19843
1967,46,1720,Canada goose,0
1967,46,2210,American coot,97588
1967,46,9991,Pond,255754
1968,45,1320,Mallard,227481
1968,45,1350,Gadwall,198459
1968,45,1370,American wigeon,1271
1968,45,1390,Green-winged teal,7687
1968,45,1400,Blue-winged teal,399473
1968,45,1420,Northern shoveler,115974
1968,45,1430,Northern pintail,90771
1968,45,1460,Redhead,60127
1968,45,1470,Canvasback,11509
1968,45,1499,Generic scaup,9005
1968,45,1500,Ring-necked duck,0
1968,45,1519,Generic goldeneye,0
1968,45,1530,Bufflehead,0
1968,45,1670,Ruddy duck,2861
1968,45,1720,Canada goose,0
1968,45,2210,American coot,65197
1968,45,9991,Pond,190267
1968,46,1320,Mallard,131916
1968,46,1350,Gadwall,144959
